home_code,away_code,home_goals,away_goals,odds_home,odds_draw,odds_away,stage,is_knockout
RUS,KSA,5,0,1.83,3.44,8.72,group,0
EGY,URU,0,1,4.66,3.42,2.24,group,0
RUS,EGY,3,1,2.13,3.27,5.65,group,0
URU,KSA,1,0,1.68,3.55,13.29,group,0
URU,RUS,3,0,2.2,3.23,5.3,group,0
KSA,EGY,2,1,3.47,3.26,2.8,group,0
MAR,IRN,0,1,2.92,3.1,3.48,group,0
POR,ESP,3,3,3.08,3.16,3.22,group,0
POR,MAR,1,0,1.74,3.5,10.77,group,0
IRN,ESP,0,1,6.47,3.53,1.95,group,0
IRN,POR,1,1,5.11,3.46,2.14,group,0
ESP,MAR,2,2,1.66,3.56,14.29,group,0
FRA,AUS,2,1,1.7,3.53,12.35,group,0
PER,DEN,0,1,3.04,3.15,3.27,group,0
DEN,AUS,1,1,2.14,3.26,5.62,group,0
FRA,PER,1,0,1.78,3.47,9.69,group,0
DEN,FRA,0,0,4.41,3.4,2.32,group,0
AUS,PER,0,2,3.03,3.14,3.3,group,0
ARG,ISL,1,1,1.75,3.5,10.52,group,0
CRO,NGA,2,0,2.06,3.3,6.09,group,0
ARG,CRO,0,3,2.14,3.26,5.6,group,0
NGA,ISL,2,0,2.57,3.06,4.22,group,0
NGA,ARG,1,2,5.3,3.47,2.1,group,0
ISL,CRO,1,2,3.95,3.34,2.5,group,0
CRC,SRB,0,1,3.14,3.18,3.13,group,0
BRA,SUI,1,1,1.67,3.56,13.93,group,0
BRA,CRC,2,0,1.57,3.63,23.9,group,0
SUI,SRB,2,1,2.46,3.11,4.47,group,0
SRB,BRA,0,2,8.81,3.59,1.79,group,0
SUI,CRC,2,2,2.13,3.26,5.64,group,0
GER,MEX,0,1,1.7,3.53,12.35,group,0
SWE,KOR,1,0,2.27,3.2,5.04,group,0
KOR,MEX,1,2,3.56,3.28,2.73,group,0
GER,SWE,2,1,1.65,3.57,14.9,group,0
KOR,GER,2,0,11.13,3.62,1.71,group,0
MEX,SWE,0,3,2.47,3.11,4.45,group,0
BEL,PAN,3,0,1.58,3.63,22.69,group,0
TUN,ENG,1,2,5.34,3.47,2.1,group,0
BEL,TUN,5,2,1.66,3.56,14.64,group,0
ENG,PAN,6,1,1.66,3.56,14.51,group,0
ENG,BEL,0,1,3.31,3.23,2.94,group,0
PAN,TUN,1,2,3.3,3.22,2.95,group,0
COL,JPN,1,2,2.09,3.29,5.86,group,0
POL,SEN,1,2,2.59,3.05,4.18,group,0
JPN,SEN,2,2,2.85,3.06,3.64,group,0
POL,COL,0,3,3.21,3.2,3.05,group,0
JPN,POL,0,1,2.96,3.11,3.41,group,0
SEN,COL,0,1,3.36,3.24,2.89,group,0
FRA,ARG,4,3,3.12,3.03,3.32,R16,1
URU,POR,2,1,3.82,3.17,2.66,R16,1
ESP,RUS,1,1,1.97,3.45,6.51,R16,1
CRO,DEN,1,1,2.66,3.17,3.83,R16,1
BRA,MEX,2,0,1.77,3.54,9.4,R16,1
BEL,JPN,3,2,1.84,3.51,8.04,R16,1
SWE,SUI,1,0,3.42,3.07,2.99,R16,1
ENG,COL,1,1,2.71,3.15,3.75,R16,1
URU,FRA,0,2,4.29,3.25,2.43,QF,1
BRA,BEL,1,2,2.3,3.3,4.66,QF,1
SWE,ENG,0,2,4.59,3.29,2.32,QF,1
RUS,CRO,2,2,3.95,3.2,2.59,QF,1
FRA,BEL,1,0,3.32,3.03,3.11,SF,1
CRO,ENG,2,1,3.56,3.11,2.86,SF,1
BEL,ENG,2,0,2.51,3.23,4.11,3P,1
FRA,CRO,4,2,2.35,3.28,4.5,F,1
